[U1, U2, U3] 
[ -2.92072546e-05  -2.32993506e+03   1.22391529e+01]
[  2.95386126e-05  -2.32993506e+03  -1.22390718e+01]
[ -2.93397916e-05  -2.41009668e+03   1.24260540e+01]
[  2.97025199e-05  -2.41009668e+03  -1.24259720e+01]
[ -2.95877981e-05  -2.49146729e+03   1.26111059e+01]
[  2.99824078e-05  -2.49146729e+03  -1.26110220e+01]
[ -2.95977698e-05  -2.57403418e+03   1.27942381e+01]
[  3.00257925e-05  -2.57403418e+03  -1.27941532e+01]
[ -2.97305978e-05  -2.65778516e+03   1.29753780e+01]
[  3.01922355e-05  -2.65778516e+03  -1.29752903e+01]
[ -2.95886075e-05  -2.74270703e+03   1.31544485e+01]
[  3.00858446e-05  -2.74270703e+03  -1.31543598e+01]
[ -2.95771661e-05  -2.82878564e+03   1.33313713e+01]
[  3.01098517e-05  -2.82878564e+03  -1.33312807e+01]
[ -2.92488457e-05  -2.91600684e+03   1.35060654e+01]
[  2.98194664e-05  -2.91600684e+03  -1.35059738e+01]
[ -2.90575517e-05  -3.00435620e+03   1.36784458e+01]
[  2.96655835e-05  -3.00435620e+03  -1.36783524e+01]
[ -2.85019669e-05  -3.09381836e+03   1.38484249e+01]
[  2.91504439e-05  -3.09381836e+03  -1.38483295e+01]
[ -2.80887652e-05  -3.18437720e+03   1.40159121e+01]
[  2.87767216e-05  -3.18437720e+03  -1.40158148e+01]
[ -2.72576726e-05  -3.27601611e+03   1.41808128e+01]
[  2.79887772e-05  -3.27601611e+03  -1.41807137e+01]
[ -2.65733852e-05  -3.36871826e+03   1.43430300e+01]
[  2.73461555e-05  -3.36871826e+03  -1.43429289e+01]
[ -2.54107090e-05  -3.46246582e+03   1.45024614e+01]
[  2.62295725e-05  -3.46246582e+03  -1.45023594e+01]
[ -2.43968389e-05  -3.55724023e+03   1.46590033e+01]
[  2.52596546e-05  -3.55724023e+03  -1.46588993e+01]
[ -2.28368062e-05  -3.65302246e+03   1.48125467e+01]
[  2.37489148e-05  -3.65302246e+03  -1.48124409e+01]
[ -2.14241772e-05  -3.74979248e+03   1.49629784e+01]
[  2.23826355e-05  -3.74979248e+03  -1.49628706e+01]
[ -1.93905453e-05  -3.84753003e+03   1.51101818e+01]
[  2.04017742e-05  -3.84753003e+03  -1.51100721e+01]
[ -1.74986617e-05  -3.94621338e+03   1.52540359e+01]
[  1.85587560e-05  -3.94621338e+03  -1.52539244e+01]
[ -1.49019079e-05  -4.04582056e+03   1.53944139e+01]
[  1.60185718e-05  -4.04582056e+03  -1.53943005e+01]
[ -1.24357521e-05  -4.14632812e+03   1.55311871e+01]
[  1.36039234e-05  -4.14632812e+03  -1.55310717e+01]
[ -9.17204488e-06  -4.24771289e+03   1.56642199e+01]
[  1.04009705e-05  -4.24771289e+03  -1.56641016e+01]
[ -6.02117461e-06  -4.34994971e+03   1.57933702e+01]
[  7.30431839e-06  -4.34994971e+03  -1.57932510e+01]
[ -1.96947576e-06  -4.45301318e+03   1.59184952e+01]
[  3.31788397e-06  -4.45301318e+03  -1.59183741e+01]
[  1.99660803e-06  -4.55687598e+03   1.60394440e+01]
[ -5.91178548e-07  -4.55687598e+03  -1.60393200e+01]
[  6.97634232e-06  -4.66151074e+03   1.61560574e+01]
[ -5.50059940e-06  -4.66151074e+03  -1.61559334e+01]
[  1.19064644e-05  -4.76688916e+03   1.62681770e+01]
[ -1.03708207e-05  -4.76688916e+03  -1.62680492e+01]
[  1.79771123e-05  -4.87298096e+03   1.63756332e+01]
[ -1.63656168e-05  -4.87298096e+03  -1.63755035e+01]
[  2.40443132e-05  -4.97975586e+03   1.64782524e+01]
[ -2.23699808e-05  -4.97975586e+03  -1.64781208e+01]
[  3.13926976e-05  -5.08718115e+03   1.65758533e+01]
[ -2.96363542e-05  -5.08718115e+03  -1.65757179e+01]
[  3.87952387e-05  -5.19522412e+03   1.66682472e+01]
[ -3.69731024e-05  -5.19522412e+03  -1.66681118e+01]
[  4.76368914e-05  -5.30385010e+03   1.67552414e+01]
[ -4.57259412e-05  -5.30385010e+03  -1.67551022e+01]
[  5.65969385e-05  -5.41302344e+03   1.68366356e+01]
[ -5.46170741e-05  -5.41302344e+03  -1.68364944e+01]
[  6.71790331e-05  -5.52270654e+03   1.69122162e+01]
[ -6.51030714e-05  -5.52270654e+03  -1.69120731e+01]
[  7.79371039e-05  -5.63286133e+03   1.69817715e+01]
[ -7.57894450e-05  -5.63286133e+03  -1.69816265e+01]
[  9.05427805e-05  -5.74344824e+03   1.70450726e+01]
[ -8.82934328e-05  -5.74344824e+03  -1.70449238e+01]
[  1.03343191e-04  -5.85442529e+03   1.71018906e+01]
[ -1.01021600e-04  -5.85442529e+03  -1.71017399e+01]
[  1.18302072e-04  -5.96575000e+03   1.71519756e+01]
[ -1.15874180e-04  -5.96575000e+03  -1.71518230e+01]
[  1.33369307e-04  -6.07737744e+03   1.71950893e+01]
[ -1.30851869e-04  -6.07737744e+03  -1.71949329e+01]
[  1.51106797e-04  -6.18926172e+03   1.72309570e+01]
[ -1.48389328e-04  -6.18926172e+03  -1.72307987e+01]
[  1.68650455e-04  -6.30135449e+03   1.72593231e+01]
[ -1.65673249e-04  -6.30135449e+03  -1.72591629e+01]
[  1.89860322e-04  -6.41360645e+03   1.72798939e+01]
[ -1.86273406e-04  -6.41360645e+03  -1.72797298e+01]
[  2.09380858e-04  -6.52596582e+03   1.72923908e+01]
[ -2.05731296e-04  -6.52596582e+03  -1.72922249e+01]
[  2.01985968e-04  -6.63838037e+03   1.72967548e+01]
[ -2.00214708e-04  -6.63838037e+03  -1.72965870e+01]
[ -3.70844670e-39  -1.60671803e-38   1.58913715e-34]
[ -3.87717985e-39  -2.17220880e-40  -1.58679638e-34]
[ -2.99165009e-07  -7.34169424e-01   2.25898847e-01]
[  1.87813555e-07  -7.34169304e-01  -2.25897670e-01]
[ -6.41824442e-07  -2.93659449e+00   4.51772213e-01]
[  5.10542463e-07  -2.93659449e+00  -4.51769769e-01]
[ -9.26899133e-07  -6.60706520e+00   6.77606404e-01]
[  6.96883092e-07  -6.60706520e+00  -6.77602649e-01]
[ -1.15879516e-06  -1.17452669e+01   9.03383315e-01]
[  1.03394507e-06  -1.17452669e+01  -9.03378189e-01]
[ -1.43401348e-06  -1.83507805e+01   1.12908792e+00]
[  1.22986273e-06  -1.83507805e+01  -1.12908149e+00]
[ -1.64417088e-06  -2.64230766e+01   1.35470271e+00]
[  1.52285463e-06  -2.64230766e+01  -1.35469496e+00]
[ -1.90268645e-06  -3.59615211e+01   1.58021200e+00]
[  1.71857107e-06  -3.59615211e+01  -1.58020294e+00]
[ -2.09830068e-06  -4.69653740e+01   1.80559850e+00]
[  1.97908798e-06  -4.69653740e+01  -1.80558801e+00]
[ -2.33929154e-06  -5.94337845e+01   2.03084564e+00]
[  2.17048546e-06  -5.94337807e+01  -2.03083396e+00]
[ -2.52304699e-06  -7.33657837e+01   2.25593615e+00]
[  2.40822487e-06  -7.33657837e+01  -2.25592303e+00]
[ -2.74822378e-06  -8.87603073e+01   2.48085308e+00]
[  2.59425042e-06  -8.87603073e+01  -2.48083878e+00]
[ -2.92330969e-06  -1.05616158e+02   2.70557857e+00]
[  2.81485518e-06  -1.05616158e+02  -2.70556283e+00]
[ -3.13508758e-06  -1.23932045e+02   2.93009520e+00]
[  2.99607791e-06  -1.23932045e+02  -2.93007827e+00]
[ -3.30411262e-06  -1.43706543e+02   3.15438485e+00]
[  3.20369304e-06  -1.43706543e+02  -3.15436649e+00]
[ -3.50514665e-06  -1.64938126e+02   3.37842894e+00]
